skill,job_count,pay_range,competition,payment_status,duration,client_spent
Lead Generation,1016,"(5.0, 10.0)",8457,1.0,22,96482139.35000001
Social Media Marketing,840,"(8.0, 15.0)",7580,1.0,23,58383554.359999985
Marketing Strategy,686,"(8.0, 20.0)",6151,1.0,23,58182839.180000015
Sales,566,"(4.25, 8.0)",3812,1.0,28,89643764.27000007
Facebook,459,"(8.0, 15.0)",4474,1.0,21,23352697.419999987
Cold Calling,452,"(5.0, 8.0)",3265,1.0,25,28915287.040000003
Social Media Management,445,"(7.0, 15.0)",4113,1.0,26,16445597.379999995
Web Development,422,"(8.0, 18.0)",4558,1.0,15,20634835.84
JavaScript,408,"(8.5, 17.5)",4260,1.0,16,23919336.11
Instagram,405,"(8.0, 15.0)",3927,1.0,24,14925962.499999996
Web Design,346,"(5.0, 12.0)",3775,1.0,17,21197452.239999995
WordPress,314,"(10.0, 20.0)",3212,1.0,17,16401670.500000004
Content Writing,312,"(8.0, 15.5)",2898,1.0,23,31444900.33999996
Email Marketing,311,"(8.0, 18.0)",3059,1.0,23,26656534.84000001
Python,291,"(9.0, 20.0)",3055,1.0,13,22367657.89999999
Scheduling,272,"(5.0, 8.0)",2120,1.0,24,11807875.500000004
Search Engine Optimization,254,"(5.0, 9.5)",2549,1.0,21,9811593.870000003
Telemarketing,236,"(5.0, 8.25)",1733,1.0,27,25763523.29000001
Data Entry,234,"(4.0, 8.0)",2012,1.0,23,37633317.26000002
API,232,"(10.0, 20.0)",2546,1.0,15,14993046.63
Outbound Sales,229,"(5.0, 8.0)",1652,1.0,28,26080456.939999998
Graphic Design,221,"(5.0, 15.0)",2310,1.0,17,16138702.520000001
Communications,204,"(5.0, 8.0)",1540,1.0,30,25175822.88
PHP,194,"(5.0, 15.0)",1989,1.0,15,10233020.500000002
Social Media Content Creation,187,"(7.0, 15.0)",1699,1.0,27,4255542.229999998
Google Ads,186,"(8.0, 20.0)",1947,1.0,23,13661782.9
HTML,185,"(10.0, 15.0)",1970,1.0,17,8379465.259999999
Google Analytics,174,"(7.5, 15.0)",1784,1.0,21,14489806.520000001
CSS,173,"(10.0, 17.0)",1776,1.0,18,8758710.450000003
List Building,168,"(3.0, 6.0)",1333,1.0,20,9240554.820000006
Market Research,146,"(7.0, 20.0)",928,1.0,27,7233239.970000002
API Integration,146,"(10.0, 20.0)",1590,1.0,17,5316957.99
B2B Marketing,146,"(3.0, 5.0)",1085,1.0,25,14050577.059999997
Social Media Content,139,"(8.0, 15.0)",1288,1.0,28,8098382.31
Campaign Management,138,"(8.0, 20.0)",1258,1.0,30,8074242.849999999
SEO Keyword Research,137,"(4.0, 8.0)",1434,1.0,23,9280597.170000004
Autodesk AutoCAD,128,"(8.0, 20.0)",1341,1.0,14,3570150.84
Shopify,127,"(8.0, 20.0)",1328,1.0,21,10606216.16
Email Communication,126,"(5.0, 10.0)",1063,1.0,32,52441256.98
Facebook Advertising,126,"(6.0, 10.0)",1210,1.0,23,6425154.870000001
