speciality,skills,job_count,pay_range,competition,payment_status,duration,client_spent
Data Analytics,"['SQL', 'Python', 'R', 'Visual Basic for Applications', 'Analytical Presentation', 'Dashboard', 'Data Analysis', 'Data Analysis Consultation', 'Exploratory Data Analysis', 'Predictive Model', 'Query Development', 'Report', 'Time Series Analysis', 'Customer Service Analytics', 'Growth Analytics', 'Marketing Analytics', 'Operations Analytics', 'Product Analytics', 'Sales Analytics', 'Data Visualization', 'A/B Testing', 'Big Data', 'Business Intelligence', 'Data Analytics', 'Data Science', 'Data Transformation', 'Funnel Testing', 'Hypothesis Testing', 'Statistics', 'Google Analytics', 'BigQuery', 'BIRT', 'Domo', 'Google Sheets', 'Google Tag Manager', 'Looker', 'Looker Studio', 'Microsoft Excel', 'Microsoft Power BI', 'Oracle Analytics Cloud', 'Power Query', 'Qlik Sense', 'QlikView', 'SAP Crystal Reports', 'Snowflake', 'Tableau', 'Zoho Analytics']",1171,"([0.0], [120.0, 65.0, 0.0, 40.0])",11921,1.0,19,141905600.02
Data Visualization,"['ArcGIS', 'BIRT', 'D3.js', 'Domo', 'Google Sheets', 'Grafana', 'Kibana', 'Looker', 'Looker Studio', 'Matplotlib', 'Microsoft Excel', 'Microsoft Power BI', 'Microsoft Power BI Data Visualization', 'Power Query', 'QGIS', 'Qlik Sense', 'QlikView', 'SAP Crystal Reports', 'Tableau', 'Talend Open Studio', 'Zoho Analytics', 'Java', 'JavaScript', 'SQL', 'Python', 'R', 'Data Visualization', 'API Integration', 'Business Intelligence', 'Dashboard', 'Digital Mapping', 'Presentations']",1413,"([0.0], [125.0, 0.0])",15023,1.0,16,137667917.54999998
Experimentation & Testing,"['Google Analytics', 'Adobe Target', 'Google Tag Manager', 'Leadpages', 'Mixpanel', 'Unbounce', 'Conversion Rate Optimization', 'A/B Testing', 'Funnel Testing', 'Hypothesis Testing', 'Multivariate Testing', 'Test Case Design']",349,"([0.0], [84.0, 70.0])",3515,1.0,22,31316579.03
Data Extraction,"['Beautiful Soup', 'Scrapy', 'Selenium', 'Selenium WebDriver', 'pandas', 'Google Apps Script', 'Informatica', 'Power Query', 'Puppeteer', 'Talend Open Studio', 'Web Scraping Framework', 'Web Scraping Plugin', 'API Integration', 'Data Extraction', 'Data Integration', 'Data Scraping', 'ETL', 'ETL Pipeline', 'Web Crawling', 'Web Scraping', 'JavaScript', 'PHP', 'SQL', 'Python', 'C#', 'R']",1454,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0, 70.0, 18.0])",15515,1.0,15,87440978.95999998
Data Processing,"['Apache Spark', 'Apache Airflow', 'Apache Kafka', 'Databricks Platform', 'Google Sheets', 'Microsoft Excel', 'SQL', 'Python', 'R', 'Visual Basic for Applications', 'Data Annotation', 'Data Cleaning', 'Data Entry', 'Data Labeling', 'Data Processing', 'Data Segmentation']",867,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0, 70.0, 18.0])",8595,1.0,18,136714976.24000004
Data Engineering,"['Apache Spark', 'Apache Airflow', 'Apache Kafka', 'AWS Glue', 'BigQuery', 'Databricks Platform', 'dbt', 'Docker', 'Elasticsearch', 'Informatica', 'Kubernetes', 'Microsoft Excel', 'PySpark', 'Snowflake', 'Talend Open Studio', 'Java', 'SQL', 'Python', 'R', 'Database Architecture', 'Database Design', 'Data Engineering', 'Data Integration', 'Data Migration', 'Data Preprocessing', 'Data Transformation', 'ETL Pipeline']",735,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0, 70.0, 18.0])",7697,1.0,16,102651700.14999999
Data Mining,"['SQL', 'Python', 'R', 'Data Entry', 'Data Mining', 'Data Scraping', 'Lead Generation', 'List Building', 'Online Research', 'Beautiful Soup', 'Scrapy', 'Selenium', 'pandas', 'Microsoft Excel', 'Microsoft Power BI', 'NumPy', 'Python Scikit-Learn', 'Tableau']",2316,"([0.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0, 70.0, 18.0])",20950,1.0,20,270778864.25
Generative AI Modeling,"['Chatbot Development', 'AI Mobile App Development', 'AI Model Development', 'AI Model Integration', 'AI Model Training', 'ChatGPT API Integration', 'Generative AI', 'Generative AI Prompt Engineering', 'Hyperparameter Tuning', 'LLM Prompt Engineering', 'Model Deployment', 'Model Monitoring', 'Model Tuning', 'Object Detection', 'Prompt Engineering', 'AI Audio Generation', 'AI Chatbot', 'AI Content Creation', 'AI Content Editing', 'AI Content Writing', 'AI Video Generation', 'AI-Generated Code', 'Data Augmentation', 'Image Analysis', 'Image Processing', 'Image Recognition', 'Natural Language Generation', 'Natural Language Processing', 'Object Detection', 'Adobe Photoshop', 'Wix', 'React', 'PyTorch', 'TensorFlow', 'Agent GPT', 'Amazon SageMaker', 'Auto-GPT', 'Azure OpenAI Service', 'ElevenLabs', 'Framer', 'Gemini for Google Workspace', 'Hugging Face', 'Keras', 'LangChain', 'Microsoft 365 Copilot', 'Midjourney AI', 'OpenAI Embeddings', 'Rasa', 'Replit', 'Streamlit', 'ChatGPT', 'Claude', 'Claude 3.5 Sonnet', 'DALL-E', 'Gemini', 'GPT-4', 'LLaMA', 'Llama 3', 'Whisper AI', 'Java', 'Swift', 'JavaScript', 'Python', 'C++', 'Golang', 'Julia', 'MATLAB', 'R', 'Rust', 'Large Language Model', 'Multimodal Large Language Model', 'Transformer Model']",1410,"([0.0], [150.0])",15101,1.0,16,107740719.44999997
AI Data Annotation & Labeling,"['Data Annotation', 'Data Labeling', 'Data Segmentation', 'Video Annotation', 'OpenCV']",10,"([0.0], [55.0])",93,1.0,7,2073779.3699999999
Deep Learning,"['AI Development', 'AI Model Development', 'AI Model Training', 'Chatbot', 'Data Science Consultation', 'Deep Learning', 'Deep Learning Modeling', 'Hyperparameter Tuning', 'Model Deployment', 'Model Monitoring', 'Model Tuning', 'PyTorch', 'TensorFlow', 'Amazon SageMaker', 'deeplearn.js', 'Flask', 'Keras', 'MATLAB', 'Matplotlib', 'OpenCV', 'Salesforce Einstein', 'Vertex AI', 'Java', 'Python', 'C++', 'R', 'Artificial Neural Network', 'Computer Vision', 'Image Processing', 'Long Short-Term Memory Network', 'Natural Language Generation', 'Natural Language Processing', 'Neural Network', 'Reinforcement Learning', 'Unsupervised Learning']",571,"([0.0], [150.0])",6116,1.0,13,54269271.08999999
