skill,job_count,avg_min_rate,avg_max_rate,avg_applicants,verified_ratio,avg_duration_weeks,avg_spent
Lead Generation,1016,8.0,20.0,8.32,1.0,22.96,94962.74
Social Media Marketing,840,8.0,25.0,9.02,1.0,23.62,69504.23
Marketing Strategy,686,10.0,25.0,8.97,1.0,23.04,84814.63
Sales,566,6.0,15.0,6.73,1.0,28.62,158381.21
Facebook,459,8.0,25.0,9.75,1.0,21.17,50877.34
Cold Calling,452,6.0,10.0,7.22,1.0,25.32,63971.87
Social Media Management,445,8.0,20.0,9.24,1.0,26.41,36956.4
Web Development,422,15.0,30.0,10.8,1.0,15.77,48897.72
JavaScript,408,15.0,30.0,10.44,1.0,16.53,58625.82
Instagram,405,8.0,25.0,9.7,1.0,24.82,36854.23
Web Design,346,13.0,30.0,10.91,1.0,17.51,61264.31
WordPress,314,14.0,30.0,10.23,1.0,17.3,52234.62
Content Writing,312,10.0,25.0,9.29,1.0,23.23,100784.94
Email Marketing,311,12.0,30.0,9.84,1.0,23.46,85712.33
Python,291,15.0,35.0,10.5,1.0,13.36,76864.8
Scheduling,272,6.0,10.0,7.79,1.0,24.08,43411.31
Search Engine Optimization,254,8.0,20.0,10.04,1.0,21.58,38628.32
Telemarketing,236,6.0,10.0,7.34,1.0,27.64,109167.47
Data Entry,234,6.0,15.0,8.6,1.0,23.57,160826.14
API,232,15.0,35.0,10.97,1.0,15.32,64625.2
Outbound Sales,229,6.0,13.0,7.21,1.0,28.89,113888.46
Graphic Design,221,15.0,30.0,10.45,1.0,17.79,73025.8
Communications,204,6.0,10.0,7.55,1.0,30.22,123410.9
PHP,194,15.0,30.0,10.25,1.0,15.68,52747.53
Social Media Content Creation,187,8.0,20.0,9.09,1.0,27.1,22756.91
Google Ads,186,10.0,25.0,10.47,1.0,23.83,73450.45
HTML,185,15.0,30.0,10.65,1.0,17.21,45294.41
Google Analytics,174,10.0,27.0,10.25,1.0,21.64,83274.75
CSS,173,14.0,28.0,10.27,1.0,18.63,50628.38
List Building,168,5.0,10.0,7.93,1.0,20.43,55003.3
